1, 0.0779, 35
2, 0.0786, 59
3, 0.0813, 83
4, 0.0892, 106
5, 0.0972, 130
6, 0.1037, 153
7, 0.1095, 177
8, 0.1147, 200
9, 0.1209, 223
10, 0.1261, 246
11, 0.1342, 269
12, 0.1423, 292
13, 0.1493, 315
14, 0.153, 338
15, 0.1609, 361
16, 0.1716, 384
17, 0.1843, 407
18, 0.1887, 430
19, 0.1924, 453
20, 0.1951, 477
21, 0.1966, 500
22, 0.1946, 523
23, 0.1932, 546
24, 0.1942, 569
25, 0.1963, 593
26, 0.1975, 621
27, 0.2013, 648
28, 0.2052, 671
29, 0.2135, 695
30, 0.2208, 718
31, 0.2313, 742
32, 0.2399, 765
33, 0.2452, 789
34, 0.2475, 812
35, 0.2528, 835
36, 0.2562, 859
37, 0.2616, 882
38, 0.2668, 905
39, 0.2708, 929
40, 0.2755, 952
41, 0.2779, 975
42, 0.2809, 999
43, 0.2835, 1022
44, 0.2869, 1045
45, 0.2929, 1069
46, 0.2964, 1092
47, 0.3006, 1116
48, 0.303, 1139
49, 0.3061, 1162
50, 0.3085, 1186
51, 0.311, 1209
52, 0.3138, 1233
53, 0.317, 1256
54, 0.3191, 1280
55, 0.3217, 1303
56, 0.3252, 1327
57, 0.3279, 1350
58, 0.3304, 1374
59, 0.3327, 1397
60, 0.3352, 1421
61, 0.338, 1444
62, 0.3398, 1467
63, 0.3419, 1490
64, 0.3433, 1513
65, 0.3452, 1537
66, 0.3481, 1569
67, 0.3504, 1592
68, 0.352, 1616
69, 0.3542, 1639
70, 0.357, 1662
71, 0.3589, 1686
72, 0.3606, 1709
73, 0.3622, 1732
74, 0.3652, 1755
75, 0.3674, 1779
76, 0.3693, 1802
77, 0.3716, 1826
78, 0.3728, 1849
79, 0.3744, 1873
80, 0.3765, 1896
81, 0.378, 1919
82, 0.3807, 1943
83, 0.3827, 1966
84, 0.3864, 1990
85, 0.3882, 2013
86, 0.3893, 2037
87, 0.3908, 2061
88, 0.3929, 2084
89, 0.3946, 2108
90, 0.3961, 2132
91, 0.3976, 2155
92, 0.3985, 2179
93, 0.4011, 2202
94, 0.4019, 2226
95, 0.4037, 2249
96, 0.4057, 2273
97, 0.4076, 2296
98, 0.4089, 2320
99, 0.4116, 2343
100, 0.4136, 2367
101, 0.4148, 2390
102, 0.4157, 2414
103, 0.4167, 2437
104, 0.4193, 2461
105, 0.4206, 2484
106, 0.4216, 2508
107, 0.4229, 2532
108, 0.425, 2564
109, 0.4265, 2587
110, 0.4272, 2611
111, 0.4283, 2635
112, 0.4297, 2658
113, 0.4307, 2681
114, 0.432, 2705
115, 0.4323, 2728
116, 0.433, 2751
117, 0.4338, 2775
118, 0.4347, 2798
119, 0.4359, 2822
120, 0.4375, 2846
121, 0.4383, 2869
122, 0.4388, 2893
123, 0.4396, 2916
124, 0.4407, 2939
125, 0.4416, 2963
126, 0.4425, 2987
127, 0.4435, 3010
128, 0.4452, 3033
129, 0.4459, 3057
130, 0.447, 3080
131, 0.4468, 3104
132, 0.4479, 3127
133, 0.4485, 3151
134, 0.4505, 3174
135, 0.4514, 3198
136, 0.4507, 3221
137, 0.4519, 3245
138, 0.4534, 3268
139, 0.455, 3292
140, 0.4563, 3316
141, 0.4578, 3339
142, 0.4578, 3363
143, 0.4579, 3386
144, 0.4589, 3410
145, 0.4591, 3434
146, 0.4597, 3458
147, 0.4607, 3481
148, 0.4618, 3505
149, 0.4627, 3528
